OCLC #,Title,Author,Language,Item type,Publication,Publisher,Year,Database,Notes,Added date
49315349,"Exploring waves : ripple tanks, vibrations, and sound",Marvin C Grossman; Harvard-Smithsonian Center for Astrophysics.; et al,English,book,,"Watertown, MA : Charlesbridge",2001.0,,,2012-08-24 07:15
49316445,"Exploring motion and forces : speed, acceleration, and friction",Marvin C Grossman; Irwin I Shapiro; R  Bruce Ward; Dana Riley Black; Harvard-Smithsonian Center for Astrophysics.,English,book,,"Watertown, MA : Charlesbridge",2001.0,,,2012-08-24 07:15
41754582,"Exploring time : sundials, water clocks, and pendulums : science journal",Marvin C Grossman; Irwin I Shapiro; R  Bruce Ward; Harvard-Smithsonian Center for Astrophysics.;,English,book,,"Watertown, MA : Charlesbridge",2000.0,,,2012-08-24 07:15
657628001,"Particle nature of matter : solids, liquids and gases",Sallie L Baliunas; Clive A Grainger; Robin Moriarty; Matthew H Schneps; Annenberg Media.; Harvard-Smithsonian Center for Astrophysics. Science Media Group.; Marcom Projects.;,English,video_dvd,,"Eight Mile Plains, Qld. : Marcom Projects [distributor]",2004.0,,,2012-08-24 07:15
23447036,The Universe in your desk : a resource guide for the teacher of high school astronomy,Darrel B Hoff; Project STAR.;,English,book,,"Cambridge, MA : Harvard-Smithsonian Center for Astrophysics",1990.0,,,2012-08-24 07:15
57630802,ASCE,Nigel Atkins; Harvard-Smithsonian Center for Astrophysics.;,English,video_dvd,,"[Cambridge, MA : Harvard-Smithsonian Center for Astrophysics]",2003.0,,,2012-08-24 07:15
141201320,Project STAR spectrometer,William Luzader; Harvard-Smithsonian Center for Astrophysics.; Learning Technologies Incorporated.;,English,object,,"Cambridge, MA : Harvard-Smithsomian Center for Astrophysics ; Somerville, MA : Learning Technologies Inc. [distributor]",1991.0,,,2012-08-24 07:15
183426098,Science in focus. / Force and motion,Annenberg Media.; Harvard-Smithsonian Center for Astrophysics. Science Media Group.;,English,video_dvd,,"S. Burlington, VT : Annenberg media",2001.0,,,2012-08-24 07:15
7711211,Location of the Norma transient with the HEAO-1 scanning modulation collimator,Giuseppina Fabbiano; Harvard-Smithsonian Center for Astrophysics.; Massachusetts Institute of Technology. Center for Space Research.; et al,English,book,,"Cambridge, Mass. : Harvard/Smithsonian Center for Astrophysics",1977.0,,,2012-08-24 07:15
7713146,Measurements of X-ray source positions by the scanning modulation collimator on HEAO-1,Herbert Gursky; Harvard-Smithsonian Center for Astrophysics.; Massachusetts Institute of Technology. Center for Space Research.; et al,English,book,,"Cambridge, Mass. : Harvard/Smithsonian Center for Astrophysics",1977.0,,,2012-08-24 07:15
